{https://registry.gdi-de.org/id/de.hh.up}name,{https://registry.gdi-de.org/id/de.hh.up}dhid,{https://registry.gdi-de.org/id/de.hh.up}linien,{https://registry.gdi-de.org/id/de.hh.up}linienzahl,{https://registry.gdi-de.org/id/de.hh.up}art,{https://registry.gdi-de.org/id/de.hh.up}abfahrten,{https://registry.gdi-de.org/id/de.hh.up}geom,CRS
Gluckstraße,de:02000:60027::600058,"261,X22",2,"Expressbus, Stadtbus",100,POINT (10.038932 53.572040),EPSG:4326
Mohnhof,de:02000:26001::260020,"135,225,228,235,332,335,535,8810,8890,N609,X81",11,"Expressbus, Nachtbus, Stadtbus",746,POINT (10.214780 53.486060),EPSG:4326
Herderstraße,de:02000:70032::700137,"172,X22",2,"Expressbus, Stadtbus",224,POINT (10.019790 53.581450),EPSG:4326
Hammer Steindamm,de:02000:61065::610175,"261,N609,X35",3,"Expressbus, Nachtbus, Stadtbus",66,POINT (10.056671 53.560826),EPSG:4326
Grubenstieg,de:02000:82052::820168,"M16,M21,X3",3,"Expressbus, Metrobus",300,POINT (9.857845 53.582193),EPSG:4326
Am Genter Ufer,de:02000:51025::510067,"146,150,251,4714,N611,X40",6,"Expressbus, Nachtbus, Stadtbus",310,POINT (9.895757 53.515666),EPSG:4326
Am Sandtorkai,de:02000:11040::110138,"111,M2,M6,N602",4,"Metrobus, Nachtbus, Stadtbus",440,POINT (9.990090 53.543070),EPSG:4326
Aluminiumwerk,de:02000:51019::510023,"146,150,251,4714,N611,X40",6,"Expressbus, Nachtbus, Stadtbus",320,POINT (9.889864 53.517826),EPSG:4326
Auedeich,de:02000:51017::510021,"146,150,251,N611,X40",5,"Expressbus, Nachtbus, Stadtbus",309,POINT (9.884390 53.526860),EPSG:4326
Wilhelm-Osterhold-Stieg,de:02000:21054::210137,"329,M12,N629,X30",4,"Expressbus, Metrobus, Nachtbus, Stadtbus",187,POINT (10.162170 53.483600),EPSG:4326
Neuer Pferdemarkt,de:02000:11018::110080,"M3,N602,X3",3,"Expressbus, Metrobus, Nachtbus",410,POINT (9.963286 53.558400),EPSG:4326
Vielohwisch,de:02000:86001::870045,"284,M21,X95",3,"Expressbus, Metrobus, Stadtbus",296,POINT (9.932260 53.639420),EPSG:4326
Geutensweg,de:02000:41017::410020,"240,251,257,N641",4,"Nachtbus, Stadtbus",277,POINT (9.839990 53.472290),EPSG:4326
Flurstraße/Rugenbarg,de:02000:82023::820104,"186,392,M22,X3",4,"Expressbus, Metrobus, Stadtbus",420,POINT (9.866693 53.585374),EPSG:4326
Dradenauer Deichweg,de:02000:52004::520008,"146,250,251,X40",4,"Expressbus, Stadtbus",239,POINT (9.900560 53.511272),EPSG:4326
Friedensallee,de:02000:80065:1:800169,"115,150,M16",3,"Metrobus, Stadtbus",130,POINT (9.926831 53.555431),EPSG:4326
Eissporthalle,de:02000:63032::630067,"171,567",2,Stadtbus,198,POINT (10.119810 53.603900),EPSG:4326
Keltenweg,de:02000:91045::910124,"M24,N604,X95",3,"Expressbus, Metrobus, Nachtbus",229,POINT (9.957590 53.645510),EPSG:4326
Klaus-Schaumann-Straße,de:02000:23022::230178,"235,329,335,N629",4,"Nachtbus, Stadtbus",217,POINT (10.189261 53.477168),EPSG:4326
U Burgstraße (Burgstraße),de:0:0::0,"261,M25",2,"Anruf-Sammel-Taxi, Metrobus, Stadtbus",183,POINT (10.040290 53.556040),EPSG:4326
Schillerufer,de:02000:25042::250028,"135,535",2,Stadtbus,100,POINT (10.211700 53.490870),EPSG:4326
Bundesstraße,de:02000:11036::110158,"M15,M4,X35",3,"Expressbus, Metrobus",599,POINT (9.974090 53.569220),EPSG:4326
Halbmondsweg,de:02000:80008::800023,"111,112,286,X86",4,"Expressbus, Stadtbus",344,POINT (9.889346 53.546548),EPSG:4326
Tribünenweg,de:02000:61016::600001,"213,260,M23,N600,X32",5,"Expressbus, Metrobus, Nachtbus, Stadtbus",622,POINT (10.081120 53.559350),EPSG:4326
Bostelbek,de:02000:42031::420079,"141,146,N641",3,"Nachtbus, Stadtbus",140,POINT (9.932720 53.470910),EPSG:4326
Alter Fährweg,de:02000:51902::51952401,"257,2719,350,550",4,Stadtbus,100,POINT (9.778352 53.531842),EPSG:4326
